filepath,vul_code,diff_target,patch_code
1112----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-53089/bad/timer.c----_kvm_save_timer,"static void _kvm_save_timer(struct kvm_vcpu *vcpu) { unsigned long ticks, delta, cfg; ktime_t expire; struct loongarch_csrs *csr = vcpu->arch.csr; cfg = kvm_read_sw_gcsr(csr, LOONGARCH_CSR_TCFG); ticks = kvm_read_sw_gcsr(csr, LOONGARCH_CSR_TVAL); if (ticks < cfg) delta = tick_to_ns(vcpu, ticks); else delta = 0; expire = ktime_add_ns(ktime_get(), delta); vcpu->arch.expire = expire; if (kvm_vcpu_is_blocking(vcpu)) { <S2SV_StartVul> hrtimer_start(&vcpu->arch.swtimer, expire, HRTIMER_MODE_ABS_PINNED); <S2SV_EndVul> } }","- hrtimer_start(&vcpu->arch.swtimer, expire, HRTIMER_MODE_ABS_PINNED);
+ hrtimer_start(&vcpu->arch.swtimer, expire, HRTIMER_MODE_ABS_PINNED_HARD);","static void _kvm_save_timer(struct kvm_vcpu *vcpu) { unsigned long ticks, delta, cfg; ktime_t expire; struct loongarch_csrs *csr = vcpu->arch.csr; cfg = kvm_read_sw_gcsr(csr, LOONGARCH_CSR_TCFG); ticks = kvm_read_sw_gcsr(csr, LOONGARCH_CSR_TVAL); if (ticks < cfg) delta = tick_to_ns(vcpu, ticks); else delta = 0; expire = ktime_add_ns(ktime_get(), delta); vcpu->arch.expire = expire; if (kvm_vcpu_is_blocking(vcpu)) { hrtimer_start(&vcpu->arch.swtimer, expire, HRTIMER_MODE_ABS_PINNED_HARD); } }"
327----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-46791/bad/mcp251x.c----mcp251x_hw_wake,"static int mcp251x_hw_wake(struct spi_device *spi) { u8 value; int ret; <S2SV_StartVul> disable_irq(spi->irq); <S2SV_EndVul> mcp251x_write_2regs(spi, CANINTE, CANINTE_WAKIE, CANINTF_WAKIF); mdelay(MCP251X_OST_DELAY_MS); mcp251x_write_reg(spi, CANCTRL, CANCTRL_REQOP_CONF); ret = mcp251x_read_stat_poll_timeout(spi, value, value == CANCTRL_REQOP_CONF, MCP251X_OST_DELAY_MS * 1000, USEC_PER_SEC); if (ret) { dev_err(&spi->dev, ""MCP251x didn't enter in config mode\n""); return ret; } mcp251x_write_2regs(spi, CANINTE, 0x00, 0x00); enable_irq(spi->irq); return 0; }","- disable_irq(spi->irq);
+ disable_irq_nosync(spi->irq);","static int mcp251x_hw_wake(struct spi_device *spi) { u8 value; int ret; disable_irq_nosync(spi->irq); mcp251x_write_2regs(spi, CANINTE, CANINTE_WAKIE, CANINTF_WAKIF); mdelay(MCP251X_OST_DELAY_MS); mcp251x_write_reg(spi, CANCTRL, CANCTRL_REQOP_CONF); ret = mcp251x_read_stat_poll_timeout(spi, value, value == CANCTRL_REQOP_CONF, MCP251X_OST_DELAY_MS * 1000, USEC_PER_SEC); if (ret) { dev_err(&spi->dev, ""MCP251x didn't enter in config mode\n""); return ret; } mcp251x_write_2regs(spi, CANINTE, 0x00, 0x00); enable_irq(spi->irq); return 0; }"
930----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-50179/bad/addr.c----ceph_set_page_dirty,"static int ceph_set_page_dirty(struct page *page) { struct address_space *mapping = page->mapping; struct inode *inode; struct ceph_inode_info *ci; struct ceph_snap_context *snapc; if (PageDirty(page)) { dout(""%p set_page_dirty %p idx %lu -- already dirty\n"", mapping->host, page, page->index); BUG_ON(!PagePrivate(page)); return 0; } inode = mapping->host; ci = ceph_inode(inode); spin_lock(&ci->i_ceph_lock); <S2SV_StartVul> BUG_ON(ci->i_wr_ref == 0); if (__ceph_have_pending_cap_snap(ci)) { struct ceph_cap_snap *capsnap = list_last_entry(&ci->i_cap_snaps, struct ceph_cap_snap, ci_item); snapc = ceph_get_snap_context(capsnap->context); capsnap->dirty_pages++; } else { BUG_ON(!ci->i_head_snapc); snapc = ceph_get_snap_context(ci->i_head_snapc); ++ci->i_wrbuffer_ref_head; } if (ci->i_wrbuffer_ref == 0) ihold(inode); ++ci->i_wrbuffer_ref; dout(""%p set_page_dirty %p idx %lu head %d/%d -> %d/%d "" ""snapc %p seq %lld (%d snaps)\n"", mapping->host, page, page->index, ci->i_wrbuffer_ref-1, ci->i_wrbuffer_ref_head-1, ci->i_wrbuffer_ref, ci->i_wrbuffer_ref_head, snapc, snapc->seq, snapc->num_snaps); spin_unlock(&ci->i_ceph_lock); BUG_ON(PagePrivate(page)); page->private = (unsigned long)snapc; SetPagePrivate(page); return __set_page_dirty_nobuffers(page); }",- BUG_ON(ci->i_wr_ref == 0); // caller should hold Fw reference,"static int ceph_set_page_dirty(struct page *page) { struct address_space *mapping = page->mapping; struct inode *inode; struct ceph_inode_info *ci; struct ceph_snap_context *snapc; if (PageDirty(page)) { dout(""%p set_page_dirty %p idx %lu -- already dirty\n"", mapping->host, page, page->index); BUG_ON(!PagePrivate(page)); return 0; } inode = mapping->host; ci = ceph_inode(inode); spin_lock(&ci->i_ceph_lock); if (__ceph_have_pending_cap_snap(ci)) { struct ceph_cap_snap *capsnap = list_last_entry(&ci->i_cap_snaps, struct ceph_cap_snap, ci_item); snapc = ceph_get_snap_context(capsnap->context); capsnap->dirty_pages++; } else { BUG_ON(!ci->i_head_snapc); snapc = ceph_get_snap_context(ci->i_head_snapc); ++ci->i_wrbuffer_ref_head; } if (ci->i_wrbuffer_ref == 0) ihold(inode); ++ci->i_wrbuffer_ref; dout(""%p set_page_dirty %p idx %lu head %d/%d -> %d/%d "" ""snapc %p seq %lld (%d snaps)\n"", mapping->host, page, page->index, ci->i_wrbuffer_ref-1, ci->i_wrbuffer_ref_head-1, ci->i_wrbuffer_ref, ci->i_wrbuffer_ref_head, snapc, snapc->seq, snapc->num_snaps); spin_unlock(&ci->i_ceph_lock); BUG_ON(PagePrivate(page)); page->private = (unsigned long)snapc; SetPagePrivate(page); return __set_page_dirty_nobuffers(page); }"
1052----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-50293/bad/af_smc.c----__smc_create,"static int __smc_create(struct net *net, struct socket *sock, int protocol, int kern, struct socket *clcsock) { int family = (protocol == SMCPROTO_SMC6) ? PF_INET6 : PF_INET; struct smc_sock *smc; struct sock *sk; int rc; rc = -ESOCKTNOSUPPORT; if (sock->type != SOCK_STREAM) goto out; rc = -EPROTONOSUPPORT; if (protocol != SMCPROTO_SMC && protocol != SMCPROTO_SMC6) goto out; rc = -ENOBUFS; sock->ops = &smc_sock_ops; sock->state = SS_UNCONNECTED; sk = smc_sock_alloc(net, sock, protocol); if (!sk) goto out; smc = smc_sk(sk); rc = 0; if (clcsock) smc->clcsock = clcsock; else rc = smc_create_clcsk(net, sk, family); <S2SV_StartVul> if (rc) <S2SV_EndVul> sk_common_release(sk); out: return rc; }","- if (rc)
+ if (rc) {
+ sock->sk = NULL;
+ }
+ }","static int __smc_create(struct net *net, struct socket *sock, int protocol, int kern, struct socket *clcsock) { int family = (protocol == SMCPROTO_SMC6) ? PF_INET6 : PF_INET; struct smc_sock *smc; struct sock *sk; int rc; rc = -ESOCKTNOSUPPORT; if (sock->type != SOCK_STREAM) goto out; rc = -EPROTONOSUPPORT; if (protocol != SMCPROTO_SMC && protocol != SMCPROTO_SMC6) goto out; rc = -ENOBUFS; sock->ops = &smc_sock_ops; sock->state = SS_UNCONNECTED; sk = smc_sock_alloc(net, sock, protocol); if (!sk) goto out; smc = smc_sk(sk); rc = 0; if (clcsock) smc->clcsock = clcsock; else rc = smc_create_clcsk(net, sk, family); if (rc) { sk_common_release(sk); sock->sk = NULL; } out: return rc; }"
794----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-50071/bad/pinctrl-ma35.c----ma35_pinctrl_dt_node_to_map_func,"static int ma35_pinctrl_dt_node_to_map_func(struct pinctrl_dev *pctldev, struct device_node *np, struct pinctrl_map **map, unsigned int *num_maps) { struct ma35_pinctrl *npctl = pinctrl_dev_get_drvdata(pctldev); struct ma35_pin_group *grp; struct pinctrl_map *new_map; struct device_node *parent; int map_num = 1; int i; grp = ma35_pinctrl_find_group_by_name(npctl, np->name); if (!grp) { dev_err(npctl->dev, ""unable to find group for node %s\n"", np->name); return -EINVAL; } map_num += grp->npins; <S2SV_StartVul> new_map = devm_kcalloc(pctldev->dev, map_num, sizeof(*new_map), GFP_KERNEL); <S2SV_EndVul> if (!new_map) return -ENOMEM; *map = new_map; *num_maps = map_num; parent = of_get_parent(np); if (!parent) return -EINVAL; new_map[0].type = PIN_MAP_TYPE_MUX_GROUP; new_map[0].data.mux.function = parent->name; new_map[0].data.mux.group = np->name; of_node_put(parent); new_map++; for (i = 0; i < grp->npins; i++) { new_map[i].type = PIN_MAP_TYPE_CONFIGS_PIN; new_map[i].data.configs.group_or_pin = pin_get_name(pctldev, grp->pins[i]); new_map[i].data.configs.configs = grp->settings[i].configs; new_map[i].data.configs.num_configs = grp->settings[i].nconfigs; } dev_dbg(pctldev->dev, ""maps: function %s group %s num %d\n"", (*map)->data.mux.function, (*map)->data.mux.group, map_num); return 0; }","- new_map = devm_kcalloc(pctldev->dev, map_num, sizeof(*new_map), GFP_KERNEL);
+ new_map = kcalloc(map_num, sizeof(*new_map), GFP_KERNEL);","static int ma35_pinctrl_dt_node_to_map_func(struct pinctrl_dev *pctldev, struct device_node *np, struct pinctrl_map **map, unsigned int *num_maps) { struct ma35_pinctrl *npctl = pinctrl_dev_get_drvdata(pctldev); struct ma35_pin_group *grp; struct pinctrl_map *new_map; struct device_node *parent; int map_num = 1; int i; grp = ma35_pinctrl_find_group_by_name(npctl, np->name); if (!grp) { dev_err(npctl->dev, ""unable to find group for node %s\n"", np->name); return -EINVAL; } map_num += grp->npins; new_map = kcalloc(map_num, sizeof(*new_map), GFP_KERNEL); if (!new_map) return -ENOMEM; *map = new_map; *num_maps = map_num; parent = of_get_parent(np); if (!parent) return -EINVAL; new_map[0].type = PIN_MAP_TYPE_MUX_GROUP; new_map[0].data.mux.function = parent->name; new_map[0].data.mux.group = np->name; of_node_put(parent); new_map++; for (i = 0; i < grp->npins; i++) { new_map[i].type = PIN_MAP_TYPE_CONFIGS_PIN; new_map[i].data.configs.group_or_pin = pin_get_name(pctldev, grp->pins[i]); new_map[i].data.configs.configs = grp->settings[i].configs; new_map[i].data.configs.num_configs = grp->settings[i].nconfigs; } dev_dbg(pctldev->dev, ""maps: function %s group %s num %d\n"", (*map)->data.mux.function, (*map)->data.mux.group, map_num); return 0; }"
607----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-49921/bad/dcn10_hubp.c----hubp1_is_flip_pending,"bool hubp1_is_flip_pending(struct hubp *hubp) { uint32_t flip_pending = 0; struct dcn10_hubp *hubp1 = TO_DCN10_HUBP(hubp); struct dc_plane_address earliest_inuse_address; if (hubp && hubp->power_gated) return false; REG_GET(DCSURF_FLIP_CONTROL, SURFACE_FLIP_PENDING, &flip_pending); REG_GET(DCSURF_SURFACE_EARLIEST_INUSE, SURFACE_EARLIEST_INUSE_ADDRESS, &earliest_inuse_address.grph.addr.low_part); REG_GET(DCSURF_SURFACE_EARLIEST_INUSE_HIGH, SURFACE_EARLIEST_INUSE_ADDRESS_HIGH, &earliest_inuse_address.grph.addr.high_part); if (flip_pending) return true; <S2SV_StartVul> if (earliest_inuse_address.grph.addr.quad_part != hubp->request_address.grph.addr.quad_part) <S2SV_EndVul> return true; return false; }","- if (earliest_inuse_address.grph.addr.quad_part != hubp->request_address.grph.addr.quad_part)
+ if (hubp &&
+ earliest_inuse_address.grph.addr.quad_part != hubp->request_address.grph.addr.quad_part)","bool hubp1_is_flip_pending(struct hubp *hubp) { uint32_t flip_pending = 0; struct dcn10_hubp *hubp1 = TO_DCN10_HUBP(hubp); struct dc_plane_address earliest_inuse_address; if (hubp && hubp->power_gated) return false; REG_GET(DCSURF_FLIP_CONTROL, SURFACE_FLIP_PENDING, &flip_pending); REG_GET(DCSURF_SURFACE_EARLIEST_INUSE, SURFACE_EARLIEST_INUSE_ADDRESS, &earliest_inuse_address.grph.addr.low_part); REG_GET(DCSURF_SURFACE_EARLIEST_INUSE_HIGH, SURFACE_EARLIEST_INUSE_ADDRESS_HIGH, &earliest_inuse_address.grph.addr.high_part); if (flip_pending) return true; if (hubp && earliest_inuse_address.grph.addr.quad_part != hubp->request_address.grph.addr.quad_part) return true; return false; }"
1104----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-53085/bad/tpm-chip.c----tpm_hwrng_read,"static int tpm_hwrng_read(struct hwrng *rng, void *data, size_t max, bool wait) { struct tpm_chip *chip = container_of(rng, struct tpm_chip, hwrng); <S2SV_StartVul> if (chip->flags & TPM_CHIP_FLAG_SUSPENDED) <S2SV_EndVul> <S2SV_StartVul> return 0; <S2SV_EndVul> return tpm_get_random(chip, data, max); }","- if (chip->flags & TPM_CHIP_FLAG_SUSPENDED)
- return 0;","static int tpm_hwrng_read(struct hwrng *rng, void *data, size_t max, bool wait) { struct tpm_chip *chip = container_of(rng, struct tpm_chip, hwrng); return tpm_get_random(chip, data, max); }"
1019----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-50257/bad/x_tables.c----*xt_find_table_lock,"struct xt_table *xt_find_table_lock(struct net *net, u_int8_t af, const char *name) { struct xt_pernet *xt_net = net_generic(net, xt_pernet_id); struct module *owner = NULL; struct xt_template *tmpl; struct xt_table *t; mutex_lock(&xt[af].mutex); list_for_each_entry(t, &xt_net->tables[af], list) if (strcmp(t->name, name) == 0 && try_module_get(t->me)) return t; list_for_each_entry(tmpl, &xt_templates[af], list) { int err; if (strcmp(tmpl->name, name)) continue; if (!try_module_get(tmpl->me)) goto out; owner = tmpl->me; mutex_unlock(&xt[af].mutex); err = tmpl->table_init(net); if (err < 0) { module_put(owner); return ERR_PTR(err); } mutex_lock(&xt[af].mutex); break; } list_for_each_entry(t, &xt_net->tables[af], list) <S2SV_StartVul> if (strcmp(t->name, name) == 0) <S2SV_EndVul> return t; module_put(owner); out: mutex_unlock(&xt[af].mutex); return ERR_PTR(-ENOENT); }","- if (strcmp(t->name, name) == 0)
+ if (strcmp(t->name, name) == 0 && owner == t->me)","struct xt_table *xt_find_table_lock(struct net *net, u_int8_t af, const char *name) { struct xt_pernet *xt_net = net_generic(net, xt_pernet_id); struct module *owner = NULL; struct xt_template *tmpl; struct xt_table *t; mutex_lock(&xt[af].mutex); list_for_each_entry(t, &xt_net->tables[af], list) if (strcmp(t->name, name) == 0 && try_module_get(t->me)) return t; list_for_each_entry(tmpl, &xt_templates[af], list) { int err; if (strcmp(tmpl->name, name)) continue; if (!try_module_get(tmpl->me)) goto out; owner = tmpl->me; mutex_unlock(&xt[af].mutex); err = tmpl->table_init(net); if (err < 0) { module_put(owner); return ERR_PTR(err); } mutex_lock(&xt[af].mutex); break; } list_for_each_entry(t, &xt_net->tables[af], list) if (strcmp(t->name, name) == 0 && owner == t->me) return t; module_put(owner); out: mutex_unlock(&xt[af].mutex); return ERR_PTR(-ENOENT); }"
749----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-50027/bad/thermal_core.c----thermal_zone_device_unregister,"void thermal_zone_device_unregister(struct thermal_zone_device *tz) { int tz_id; struct thermal_cooling_device *cdev; struct thermal_zone_device *pos = NULL; if (!tz) return; tz_id = tz->id; mutex_lock(&thermal_list_lock); list_for_each_entry(pos, &thermal_tz_list, node) if (pos == tz) break; if (pos != tz) { mutex_unlock(&thermal_list_lock); return; } mutex_lock(&tz->lock); list_del(&tz->node); mutex_unlock(&tz->lock); list_for_each_entry(cdev, &thermal_cdev_list, node) if (tz->ops->unbind) tz->ops->unbind(tz, cdev); mutex_unlock(&thermal_list_lock); cancel_delayed_work_sync(&tz->poll_queue); thermal_set_governor(tz, NULL); thermal_remove_hwmon_sysfs(tz); ida_free(&thermal_tz_ida, tz->id); ida_destroy(&tz->ida); device_del(&tz->device); <S2SV_StartVul> kfree(tz->tzp); <S2SV_EndVul> put_device(&tz->device); thermal_notify_tz_delete(tz_id); wait_for_completion(&tz->removal); kfree(tz); }","- kfree(tz->tzp);
+ kfree(tz->tzp);","void thermal_zone_device_unregister(struct thermal_zone_device *tz) { int tz_id; struct thermal_cooling_device *cdev; struct thermal_zone_device *pos = NULL; if (!tz) return; tz_id = tz->id; mutex_lock(&thermal_list_lock); list_for_each_entry(pos, &thermal_tz_list, node) if (pos == tz) break; if (pos != tz) { mutex_unlock(&thermal_list_lock); return; } mutex_lock(&tz->lock); list_del(&tz->node); mutex_unlock(&tz->lock); list_for_each_entry(cdev, &thermal_cdev_list, node) if (tz->ops->unbind) tz->ops->unbind(tz, cdev); mutex_unlock(&thermal_list_lock); cancel_delayed_work_sync(&tz->poll_queue); thermal_set_governor(tz, NULL); thermal_remove_hwmon_sysfs(tz); ida_free(&thermal_tz_ida, tz->id); ida_destroy(&tz->ida); device_del(&tz->device); put_device(&tz->device); thermal_notify_tz_delete(tz_id); wait_for_completion(&tz->removal); kfree(tz->tzp); kfree(tz); }"
1214----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-53222/bad/zram_drv.c----zram_add,"static int zram_add(void) { struct queue_limits lim = { .logical_block_size = ZRAM_LOGICAL_BLOCK_SIZE, .physical_block_size = PAGE_SIZE, .io_min = PAGE_SIZE, .io_opt = PAGE_SIZE, .max_hw_discard_sectors = UINT_MAX, #if ZRAM_LOGICAL_BLOCK_SIZE == PAGE_SIZE .max_write_zeroes_sectors = UINT_MAX, #endif .features = BLK_FEAT_STABLE_WRITES | BLK_FEAT_SYNCHRONOUS, }; struct zram *zram; int ret, device_id; zram = kzalloc(sizeof(struct zram), GFP_KERNEL); if (!zram) return -ENOMEM; ret = idr_alloc(&zram_index_idr, zram, 0, 0, GFP_KERNEL); if (ret < 0) goto out_free_dev; device_id = ret; init_rwsem(&zram->init_lock); #ifdef CONFIG_ZRAM_WRITEBACK spin_lock_init(&zram->wb_limit_lock); #endif zram->disk = blk_alloc_disk(&lim, NUMA_NO_NODE); if (IS_ERR(zram->disk)) { pr_err(""Error allocating disk structure for device %d\n"", device_id); ret = PTR_ERR(zram->disk); goto out_free_idr; } zram->disk->major = zram_major; zram->disk->first_minor = device_id; zram->disk->minors = 1; zram->disk->flags |= GENHD_FL_NO_PART; zram->disk->fops = &zram_devops; zram->disk->private_data = zram; snprintf(zram->disk->disk_name, 16, ""zram%d"", device_id); atomic_set(&zram->pp_in_progress, 0); set_capacity(zram->disk, 0); ret = device_add_disk(NULL, zram->disk, zram_disk_groups); if (ret) goto out_cleanup_disk; <S2SV_StartVul> zram_comp_params_reset(zram); <S2SV_EndVul> <S2SV_StartVul> comp_algorithm_set(zram, ZRAM_PRIMARY_COMP, default_compressor); <S2SV_EndVul> zram_debugfs_register(zram); pr_info(""Added device: %s\n"", zram->disk->disk_name); return device_id; out_cleanup_disk: put_disk(zram->disk); out_free_idr: idr_remove(&zram_index_idr, device_id); out_free_dev: kfree(zram); return ret; }","- zram_comp_params_reset(zram);
- comp_algorithm_set(zram, ZRAM_PRIMARY_COMP, default_compressor);
+ zram_comp_params_reset(zram);
+ comp_algorithm_set(zram, ZRAM_PRIMARY_COMP, default_compressor);","static int zram_add(void) { struct queue_limits lim = { .logical_block_size = ZRAM_LOGICAL_BLOCK_SIZE, .physical_block_size = PAGE_SIZE, .io_min = PAGE_SIZE, .io_opt = PAGE_SIZE, .max_hw_discard_sectors = UINT_MAX, #if ZRAM_LOGICAL_BLOCK_SIZE == PAGE_SIZE .max_write_zeroes_sectors = UINT_MAX, #endif .features = BLK_FEAT_STABLE_WRITES | BLK_FEAT_SYNCHRONOUS, }; struct zram *zram; int ret, device_id; zram = kzalloc(sizeof(struct zram), GFP_KERNEL); if (!zram) return -ENOMEM; ret = idr_alloc(&zram_index_idr, zram, 0, 0, GFP_KERNEL); if (ret < 0) goto out_free_dev; device_id = ret; init_rwsem(&zram->init_lock); #ifdef CONFIG_ZRAM_WRITEBACK spin_lock_init(&zram->wb_limit_lock); #endif zram->disk = blk_alloc_disk(&lim, NUMA_NO_NODE); if (IS_ERR(zram->disk)) { pr_err(""Error allocating disk structure for device %d\n"", device_id); ret = PTR_ERR(zram->disk); goto out_free_idr; } zram->disk->major = zram_major; zram->disk->first_minor = device_id; zram->disk->minors = 1; zram->disk->flags |= GENHD_FL_NO_PART; zram->disk->fops = &zram_devops; zram->disk->private_data = zram; snprintf(zram->disk->disk_name, 16, ""zram%d"", device_id); atomic_set(&zram->pp_in_progress, 0); zram_comp_params_reset(zram); comp_algorithm_set(zram, ZRAM_PRIMARY_COMP, default_compressor); set_capacity(zram->disk, 0); ret = device_add_disk(NULL, zram->disk, zram_disk_groups); if (ret) goto out_cleanup_disk; zram_debugfs_register(zram); pr_info(""Added device: %s\n"", zram->disk->disk_name); return device_id; out_cleanup_disk: put_disk(zram->disk); out_free_idr: idr_remove(&zram_index_idr, device_id); out_free_dev: kfree(zram); return ret; }"
88----None----E:/smm/code_security_analysis/漏洞检测/实验/my_model/new_data/CVE-2024-44957/bad/privcmd.c----irqfd_wakeup,"irqfd_wakeup(wait_queue_entry_t *wait, unsigned int mode, int sync, void *key) { struct privcmd_kernel_irqfd *kirqfd = container_of(wait, struct privcmd_kernel_irqfd, wait); __poll_t flags = key_to_poll(key); if (flags & EPOLLIN) irqfd_inject(kirqfd); if (flags & EPOLLHUP) { <S2SV_StartVul> mutex_lock(&irqfds_lock); <S2SV_EndVul> irqfd_deactivate(kirqfd); <S2SV_StartVul> mutex_unlock(&irqfds_lock); <S2SV_EndVul> } return 0; }","- mutex_lock(&irqfds_lock);
- mutex_unlock(&irqfds_lock);
+ unsigned long flags;
+ spin_lock_irqsave(&irqfds_lock, flags);
+ spin_unlock_irqrestore(&irqfds_lock, flags);","irqfd_wakeup(wait_queue_entry_t *wait, unsigned int mode, int sync, void *key) { struct privcmd_kernel_irqfd *kirqfd = container_of(wait, struct privcmd_kernel_irqfd, wait); __poll_t flags = key_to_poll(key); if (flags & EPOLLIN) irqfd_inject(kirqfd); if (flags & EPOLLHUP) { unsigned long flags; spin_lock_irqsave(&irqfds_lock, flags); irqfd_deactivate(kirqfd); spin_unlock_irqrestore(&irqfds_lock, flags); } return 0; }"
